"Step","CUDA_BATCHED_HIDROGEN - Energy","CUDA_BATCHED_HIDROGEN - Energy__MIN","CUDA_BATCHED_HIDROGEN - Energy__MAX"
"167","-0.500357449054718","-0.500357449054718","-0.500357449054718"
"168","-0.49993017315864563","-0.49993017315864563","-0.49993017315864563"
"169","-0.49980708956718445","-0.49980708956718445","-0.49980708956718445"
"170","-0.49973562359809875","-0.49973562359809875","-0.49973562359809875"
"171","-0.49977830052375793","-0.49977830052375793","-0.49977830052375793"
"172","-0.499694287776947","-0.499694287776947","-0.499694287776947"
"173","-0.500076174736023","-0.500076174736023","-0.500076174736023"
"174","-0.4998551309108734","-0.4998551309108734","-0.4998551309108734"
"175","-0.5003418326377869","-0.5003418326377869","-0.5003418326377869"
"176","-0.4997427463531494","-0.4997427463531494","-0.4997427463531494"
"177","-0.5002036094665527","-0.5002036094665527","-0.5002036094665527"
"178","-0.50035160779953","-0.50035160779953","-0.50035160779953"
"179","-0.49981772899627686","-0.49981772899627686","-0.49981772899627686"
"180","-0.5002667903900146","-0.5002667903900146","-0.5002667903900146"
"181","-0.49996551871299744","-0.49996551871299744","-0.49996551871299744"
"182","-0.49977439641952515","-0.49977439641952515","-0.49977439641952515"
"183","-0.49972522258758545","-0.49972522258758545","-0.49972522258758545"
"184","-0.4999154508113861","-0.4999154508113861","-0.4999154508113861"
"185","-0.49987542629241943","-0.49987542629241943","-0.49987542629241943"
"186","-0.5000308156013489","-0.5000308156013489","-0.5000308156013489"
"187","-0.5001258850097656","-0.5001258850097656","-0.5001258850097656"
"188","-0.5000053644180298","-0.5000053644180298","-0.5000053644180298"
"189","-0.5000688433647156","-0.5000688433647156","-0.5000688433647156"
"190","-0.5001477003097534","-0.5001477003097534","-0.5001477003097534"
"191","-0.4996545612812042","-0.4996545612812042","-0.4996545612812042"
"192","-0.5001878142356873","-0.5001878142356873","-0.5001878142356873"
"193","-0.5001028776168823","-0.5001028776168823","-0.5001028776168823"
"194","-0.5000243186950684","-0.5000243186950684","-0.5000243186950684"
"195","-0.499993234872818","-0.499993234872818","-0.499993234872818"
"196","-0.5001956820487976","-0.5001956820487976","-0.5001956820487976"
"197","-0.5000004768371582","-0.5000004768371582","-0.5000004768371582"
"198","-0.49989384412765503","-0.49989384412765503","-0.49989384412765503"
"199","-0.4999498426914215","-0.4999498426914215","-0.4999498426914215"
"200","-0.49987098574638367","-0.49987098574638367","-0.49987098574638367"
"201","-0.49994346499443054","-0.49994346499443054","-0.49994346499443054"
"202","-0.4999862313270569","-0.4999862313270569","-0.4999862313270569"
"203","-0.49978792667388916","-0.49978792667388916","-0.49978792667388916"
"204","-0.499854177236557","-0.499854177236557","-0.499854177236557"
"205","-0.49998611211776733","-0.49998611211776733","-0.49998611211776733"
"206","-0.49990203976631165","-0.49990203976631165","-0.49990203976631165"
"207","-0.49991574883461","-0.49991574883461","-0.49991574883461"
"208","-0.4997037351131439","-0.4997037351131439","-0.4997037351131439"
"209","-0.4998560845851898","-0.4998560845851898","-0.4998560845851898"
"210","-0.5003103017807007","-0.5003103017807007","-0.5003103017807007"
"211","-0.4998962879180908","-0.4998962879180908","-0.4998962879180908"
"212","-0.4998061954975128","-0.4998061954975128","-0.4998061954975128"
"213","-0.49987009167671204","-0.49987009167671204","-0.49987009167671204"
"214","-0.49993646144866943","-0.49993646144866943","-0.49993646144866943"
"215","-0.5001480579376221","-0.5001480579376221","-0.5001480579376221"
"216","-0.4997631013393402","-0.4997631013393402","-0.4997631013393402"
"217","-0.5000172853469849","-0.5000172853469849","-0.5000172853469849"
"218","-0.499826043844223","-0.499826043844223","-0.499826043844223"
"219","-0.49989455938339233","-0.49989455938339233","-0.49989455938339233"
"220","-0.49997133016586304","-0.49997133016586304","-0.49997133016586304"
"221","-0.49993273615837097","-0.49993273615837097","-0.49993273615837097"
"222","-0.49996721744537354","-0.49996721744537354","-0.49996721744537354"
"223","-0.499786376953125","-0.499786376953125","-0.499786376953125"
"224","-0.5000154376029968","-0.5000154376029968","-0.5000154376029968"
"225","-0.5000580549240112","-0.5000580549240112","-0.5000580549240112"
"226","-0.4997048079967499","-0.4997048079967499","-0.4997048079967499"
