"Step","LITHIUM_SOTA - Energy","LITHIUM_SOTA - Energy__MIN","LITHIUM_SOTA - Energy__MAX"
"295","-7.466606140136719","-7.466606140136719","-7.466606140136719"
"296","-7.43203067779541","-7.43203067779541","-7.43203067779541"
"297","-7.429258823394775","-7.429258823394775","-7.429258823394775"
"298","-7.4959540367126465","-7.4959540367126465","-7.4959540367126465"
"299","-7.308611869812012","-7.308611869812012","-7.308611869812012"
"300","-7.383070945739746","-7.383070945739746","-7.383070945739746"
"301","-7.396219253540039","-7.396219253540039","-7.396219253540039"
"302","-7.414386749267578","-7.414386749267578","-7.414386749267578"
"303","-7.4760541915893555","-7.4760541915893555","-7.4760541915893555"
"304","-7.5398359298706055","-7.5398359298706055","-7.5398359298706055"
"305","-7.418362617492676","-7.418362617492676","-7.418362617492676"
"306","-7.522282600402832","-7.522282600402832","-7.522282600402832"
"307","-7.449109077453613","-7.449109077453613","-7.449109077453613"
"308","-7.418332099914551","-7.418332099914551","-7.418332099914551"
"309","-7.3960981369018555","-7.3960981369018555","-7.3960981369018555"
"310","-7.391603946685791","-7.391603946685791","-7.391603946685791"
"311","-7.397970199584961","-7.397970199584961","-7.397970199584961"
"312","-7.473038673400879","-7.473038673400879","-7.473038673400879"
"313","-7.4783453941345215","-7.4783453941345215","-7.4783453941345215"
"314","-7.417984962463379","-7.417984962463379","-7.417984962463379"
"315","-7.429787635803223","-7.429787635803223","-7.429787635803223"
"316","-7.407052040100098","-7.407052040100098","-7.407052040100098"
"317","-7.421008110046387","-7.421008110046387","-7.421008110046387"
"318","-7.5059919357299805","-7.5059919357299805","-7.5059919357299805"
"319","-7.3959527015686035","-7.3959527015686035","-7.3959527015686035"
"320","-7.505557537078857","-7.505557537078857","-7.505557537078857"
"321","-7.427670478820801","-7.427670478820801","-7.427670478820801"
"322","-7.4363203048706055","-7.4363203048706055","-7.4363203048706055"
"323","-7.456770896911621","-7.456770896911621","-7.456770896911621"
"324","-7.484132766723633","-7.484132766723633","-7.484132766723633"
"325","-7.447104454040527","-7.447104454040527","-7.447104454040527"
"326","-7.548370361328125","-7.548370361328125","-7.548370361328125"
"327","-7.439497947692871","-7.439497947692871","-7.439497947692871"
"328","-7.437056064605713","-7.437056064605713","-7.437056064605713"
"329","-7.483766555786133","-7.483766555786133","-7.483766555786133"
"330","-7.520813465118408","-7.520813465118408","-7.520813465118408"
"331","-7.476759433746338","-7.476759433746338","-7.476759433746338"
"332","-7.467948913574219","-7.467948913574219","-7.467948913574219"
"333","-7.462658405303955","-7.462658405303955","-7.462658405303955"
"334","-7.470155715942383","-7.470155715942383","-7.470155715942383"
"335","-7.436524868011475","-7.436524868011475","-7.436524868011475"
"336","-7.440732955932617","-7.440732955932617","-7.440732955932617"
"337","-7.4590349197387695","-7.4590349197387695","-7.4590349197387695"
"338","-7.459123611450195","-7.459123611450195","-7.459123611450195"
"339","-7.459418296813965","-7.459418296813965","-7.459418296813965"
"340","-7.46673583984375","-7.46673583984375","-7.46673583984375"
"341","-7.456048965454102","-7.456048965454102","-7.456048965454102"
"342","-7.490272521972656","-7.490272521972656","-7.490272521972656"
"343","-7.513444900512695","-7.513444900512695","-7.513444900512695"
"344","-7.46262264251709","-7.46262264251709","-7.46262264251709"
"345","-7.4183502197265625","-7.4183502197265625","-7.4183502197265625"
"346","-7.461385726928711","-7.461385726928711","-7.461385726928711"
"347","-7.4223856925964355","-7.4223856925964355","-7.4223856925964355"
"348","-7.458958625793457","-7.458958625793457","-7.458958625793457"
"349","-7.470449447631836","-7.470449447631836","-7.470449447631836"
"350","-7.433568477630615","-7.433568477630615","-7.433568477630615"
"351","-7.470845699310303","-7.470845699310303","-7.470845699310303"
"352","-7.450539588928223","-7.450539588928223","-7.450539588928223"
"353","-7.474981307983398","-7.474981307983398","-7.474981307983398"
"354","-7.477036476135254","-7.477036476135254","-7.477036476135254"
"355","-7.476146697998047","-7.476146697998047","-7.476146697998047"
"356","-7.470066070556641","-7.470066070556641","-7.470066070556641"
"357","-7.467043399810791","-7.467043399810791","-7.467043399810791"
"358","-7.44484281539917","-7.44484281539917","-7.44484281539917"
"359","-7.452325820922852","-7.452325820922852","-7.452325820922852"
"360","-7.4563446044921875","-7.4563446044921875","-7.4563446044921875"
"361","-7.485230922698975","-7.485230922698975","-7.485230922698975"
"362","-7.469472885131836","-7.469472885131836","-7.469472885131836"
"363","-7.406087398529053","-7.406087398529053","-7.406087398529053"
"364","-7.459181308746338","-7.459181308746338","-7.459181308746338"
"365","-7.454154014587402","-7.454154014587402","-7.454154014587402"
"366","-7.381978988647461","-7.381978988647461","-7.381978988647461"
"367","-7.429399013519287","-7.429399013519287","-7.429399013519287"
"368","-7.461775302886963","-7.461775302886963","-7.461775302886963"
"369","-7.396764278411865","-7.396764278411865","-7.396764278411865"
"370","-7.464112281799316","-7.464112281799316","-7.464112281799316"
"371","-7.4745612144470215","-7.4745612144470215","-7.4745612144470215"
"372","-7.483393669128418","-7.483393669128418","-7.483393669128418"
"373","-7.490814208984375","-7.490814208984375","-7.490814208984375"
"374","-7.569231033325195","-7.569231033325195","-7.569231033325195"
"375","-7.510170936584473","-7.510170936584473","-7.510170936584473"
"376","-7.48432731628418","-7.48432731628418","-7.48432731628418"
"377","-7.412812232971191","-7.412812232971191","-7.412812232971191"
"378","-7.491801738739014","-7.491801738739014","-7.491801738739014"
"379","-7.482882976531982","-7.482882976531982","-7.482882976531982"
"380","-7.508965492248535","-7.508965492248535","-7.508965492248535"
"381","-7.484364986419678","-7.484364986419678","-7.484364986419678"
"382","-7.441277503967285","-7.441277503967285","-7.441277503967285"
"383","-7.493053436279297","-7.493053436279297","-7.493053436279297"
"384","-7.426865577697754","-7.426865577697754","-7.426865577697754"
"385","-7.4830851554870605","-7.4830851554870605","-7.4830851554870605"
"386","-7.44327449798584","-7.44327449798584","-7.44327449798584"
"387","-7.459236145019531","-7.459236145019531","-7.459236145019531"
"388","-7.499784469604492","-7.499784469604492","-7.499784469604492"
"389","-7.438198566436768","-7.438198566436768","-7.438198566436768"
"390","-7.44119930267334","-7.44119930267334","-7.44119930267334"
"391","-7.499250888824463","-7.499250888824463","-7.499250888824463"
"392","-7.434682846069336","-7.434682846069336","-7.434682846069336"
"393","-7.466822624206543","-7.466822624206543","-7.466822624206543"
"394","-7.476374626159668","-7.476374626159668","-7.476374626159668"
"395","-7.584401607513428","-7.584401607513428","-7.584401607513428"
"396","-7.44997501373291","-7.44997501373291","-7.44997501373291"
"397","-7.459139347076416","-7.459139347076416","-7.459139347076416"
"398","-7.481170654296875","-7.481170654296875","-7.481170654296875"
"399","-7.419550895690918","-7.419550895690918","-7.419550895690918"
"400","-7.487039566040039","-7.487039566040039","-7.487039566040039"
"401","-7.523930549621582","-7.523930549621582","-7.523930549621582"
"402","-7.485667705535889","-7.485667705535889","-7.485667705535889"
"403","-7.452225685119629","-7.452225685119629","-7.452225685119629"
"404","-7.459031105041504","-7.459031105041504","-7.459031105041504"
"405","-7.438190937042236","-7.438190937042236","-7.438190937042236"
